AsesorVentas; NroDesembolsos;MontoDesembolso;StockClientesJunio;StockClientesJulio;VarClientes;CarteraJun;CarteraJul;VarCartera
Asesor 341; -   ; -   ;1;1; -   ;5,240;4,983;-257
Asesor 342; -   ; -   ;27; -   ;-32;146,088; -   ;-146,088
Asesor 343;14;186,730;188;192;-6;1,611,585;1,544,276;-67,309
Asesor 344;5;87,995;213;234;-7;1,451,689;1,342,079;-109,610
Asesor 345;34;258,253;249;260;4;1,746,905;1,721,768;-25,137
Asesor 346;6;44,600; -   ;6;6; -   ;44,600;44,600
Asesor 347;40;331,494;336;350;-3;2,090,639;2,118,736;28,097
Asesor 348;26;232,510;257;274;-6;1,882,019;1,776,737;-105,282
Asesor 349;25;261,244;280;285;-17;1,664,176;1,508,072;-156,104
Asesor 350;44;385,645;345;384;8;2,093,536;2,228,792;135,256
Asesor 351;18;133,289;199;230;-25;1,287,354;1,263,874;-23,480
Asesor 352; -   ; -   ;14;10;-6;6,118;2,486;-3,632
Asesor 353;8;37,294; -   ;8;8;1;37,294;37,293
Asesor 354;7;88,900;317;315;-20;1,667,837;1,561,560;-106,277
Asesor 355;27;256,204;235;242;6;1,712,654;1,764,332;51,678
Asesor 356; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Asesor 357;45;400,921;338;369;5;2,237,378;2,370,996;133,618
Asesor 358;33;378,817;338;347;-11;1,623,010;1,742,281;119,271
Asesor 359;27;228,295;237;273;2;1,598,154;1,644,216;46,062
Asesor 360;40;197,799;298;303;-9;1,908,783;1,704,456;-204,327
Asesor 361; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Asesor 362;23;233,319;247;265;-20;2,446,075;2,336,064;-110,011
Asesor 363;28;371,064;214;223;-1;1,899,354;1,885,892;-13,462
Asesor 364;25;130,634;206;212;-3;824,001;861,663;37,662
Asesor 365;16;159,307;232;229;-10;2,591,700;2,520,463;-71,237
Asesor 366;46;542,936;315;343;1;2,042,688;2,169,843;127,155
Asesor 367; -   ; -   ;1;1; -   ;2,594;2,443;-151
Asesor 368; -   ; -   ;4;4; -   ;10,457;10,236;-221
